,tr,Sentence,tr,index,tr_shift,prev_tr,story_section,n_tokens,lemma,pos,tag,dep_rel,dep_head
16,16,400 dollar bottle of Scotch?”,16,A1.8,1.0,15.0,A1,2225,"['400', 'dollar', 'bottle', 'of', 'Scotch', '?', '""']","['NUM', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PUNCT']","['CD', 'NN', 'NN', 'IN', 'NNP', '.', ""''""]","['nummod', 'compound', 'dobj', 'prep', 'pobj', 'punct', 'punct']","['dollar', 'bottle', 'buy', 'bottle', 'of', 'have', 'have']"
17,17,Gary waves away,17,A1.9,1.0,16.0,A1,2225,"['Gary', 'wave', 'away']","['PROPN', 'VERB', 'ADV']","['NNP', 'VBZ', 'RB']","['nsubj', 'ROOT', 'advmod']","['waves', 'waves', 'waves']"
18,18,her upset.,18,A1.9,1.0,17.0,A1,2225,"['-PRON-', 'upset', '.']","['DET', 'ADJ', 'PUNCT']","['PRP$', 'JJ', '.']","['poss', 'dobj', 'punct']","['upset', 'waves', 'waves']"
19,19,He seems distracted.,19,A1.10,1.0,18.0,A1,2225,"['-PRON-', 'seem', 'distracted', '.']","['PRON', 'VERB', 'ADJ', 'PUNCT']","['PRP', 'VBZ', 'JJ', '.']","['nsubj', 'ROOT', 'oprd', 'punct']","['seems', 'seems', 'seems', 'seems']"
20,20,Guilty of something.,20,A1.11,1.0,19.0,A1,2225,"['guilty', 'of', 'something', '.']","['ADJ', 'ADP', 'PRON', 'PUNCT']","['JJ', 'IN', 'NN', '.']","['ROOT', 'prep', 'pobj', 'punct']","['Guilty', 'Guilty', 'of', 'Guilty']"
21,21,She can tell by the way he avoids her.,21,A1.12,1.0,20.0,A1,2225,"['-PRON-', 'can', 'tell', 'by', 'the', 'way', '-PRON-', 'avoid', '-PRON-', '.']","['PRON', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'PRON', 'PUNCT']","['PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'PRP', 'VBZ', 'PRP', '.']","['nsubj', 'aux', 'ROOT', 'prep', 'det', 'pobj', 'nsubj', 'relcl', 'dobj', 'punct']","['tell', 'tell', 'tell', 'tell', 'way', 'by', 'avoids', 'way', 'avoids', 'tell']"
22,22,Clara looks at her face,22,A1.13,1.0,21.0,A1,2225,"['Clara', 'look', 'at', '-PRON-', 'face']","['PROPN', 'VERB', 'ADP', 'DET', 'NOUN']","['NNP', 'VBZ', 'IN', 'PRP$', 'NN']","['nsubj', 'ROOT', 'prep', 'poss', 'pobj']","['looks', 'looks', 'looks', 'face', 'at']"
23,23,in the hallway mirror.,23,A1.13,1.0,22.0,A1,2225,"['in', 'the', 'hallway', 'mirror', '.']","['ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']","['IN', 'DT', 'NN', 'NN', '.']","['prep', 'det', 'compound', 'pobj', 'punct']","['looks', 'mirror', 'mirror', 'in', 'looks']"
24,24,She’s 33 years old.,24,A1.14,1.0,23.0,A1,2225,"['-PRON-', '’', '33', 'year', 'old', '.']","['PRON', 'VERB', 'NUM', 'NOUN', 'ADJ', 'PUNCT']","['PRP', 'VBZ', 'CD', 'NNS', 'JJ', '.']","['nsubj', 'ROOT', 'nummod', 'npadvmod', 'acomp', 'punct']","['’s', '’s', 'years', 'old', '’s', '’s']"
25,25,She’s slowly getting white,25,A1.15,1.0,24.0,A1,2225,"['-PRON-', '’', 'slowly', 'get', 'white']","['PRON', 'VERB', 'ADV', 'VERB', 'ADJ']","['PRP', 'VBZ', 'RB', 'VBG', 'JJ']","['nsubj', 'aux', 'advmod', 'ROOT', 'amod']","['getting', 'getting', 'getting', 'getting', 'hairs']"
26,26,hairs in her eyebrows.,26,A1.15,1.0,25.0,A1,2225,"['hair', 'in', '-PRON-', 'eyebrow', '.']","['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['NNS', 'IN', 'PRP$', 'NNS', '.']","['dobj', 'prep', 'poss', 'pobj', 'punct']","['getting', 'getting', 'eyebrows', 'in', 'getting']"
27,27,She feels,27,A1.16,1.0,26.0,A1,2225,"['-PRON-', 'feel']","['PRON', 'VERB']","['PRP', 'VBZ']","['nsubj', 'ROOT']","['feels', 'feels']"
28,28,completely alone.,28,A1.16,1.0,27.0,A1,2225,"['completely', 'alone', '.']","['ADV', 'ADJ', 'PUNCT']","['RB', 'JJ', '.']","['advmod', 'acomp', 'punct']","['alone', 'feels', 'feels']"
29,29,Grad students fill,29,A1.17,1.0,28.0,A1,2225,"['grad', 'student', 'fill']","['NOUN', 'NOUN', 'VERB']","['NN', 'NNS', 'VBP']","['compound', 'nsubj', 'ROOT']","['students', 'fill', 'fill']"
30,30,"the low-ceiling space,",30,A1.17,1.0,29.0,A1,2225,"['the', 'low', '-', 'ceiling', 'space', ',']","['DET', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT']","['DT', 'JJ', 'HYPH', 'NN', 'NN', ',']","['det', 'amod', 'punct', 'compound', 'dobj', 'punct']","['space', 'ceiling', 'ceiling', 'space', 'fill', 'fill']"
31,31,chewing big words,31,A1.17,1.0,30.0,A1,2225,"['chew', 'big', 'word']","['VERB', 'ADJ', 'NOUN']","['VBG', 'JJ', 'NNS']","['advcl', 'amod', 'dobj']","['fill', 'words', 'chewing']"
32,32,and gesticulating emphatically.,32,A1.17,1.0,31.0,A1,2225,"['and', 'gesticulate', 'emphatically', '.']","['CCONJ', 'VERB', 'ADV', 'PUNCT']","['CC', 'VBG', 'RB', '.']","['cc', 'conj', 'advmod', 'punct']","['chewing', 'chewing', 'gesticulating', 'fill']"
33,33,Gary’s face looks up from the,33,A1.18,1.0,32.0,A1,2225,"['Gary', '’s', 'face', 'look', 'up', 'from', 'the']","['PROPN', 'PART', 'NOUN', 'VERB', 'ADP', 'ADP', 'DET']","['NNP', 'POS', 'NN', 'VBZ', 'RP', 'IN', 'DT']","['poss', 'case', 'nsubj', 'ROOT', 'prt', 'prep', 'det']","['face', 'Gary', 'looks', 'looks', 'looks', 'up', 'photo']"
34,34,photo his parents have framed,34,A1.18,1.0,33.0,A1,2225,"['photo', '-PRON-', 'parent', 'have', 'frame']","['NOUN', 'DET', 'NOUN', 'AUX', 'VERB']","['NN', 'PRP$', 'NNS', 'VBP', 'VBN']","['pobj', 'poss', 'nsubj', 'aux', 'relcl']","['from', 'parents', 'framed', 'framed', 'photo']"
35,35,"in expensive mahogany: Elated, graduating,",35,A1.18,1.0,34.0,A1,2225,"['in', 'expensive', 'mahogany', ':', 'Elated', ',', 'graduate', ',']","['ADP', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'VERB', 'PUNCT']","['IN', 'JJ', 'NN', ':', 'NNP', ',', 'VBG', ',']","['prep', 'amod', 'pobj', 'punct', 'amod', 'punct', 'conj', 'punct']","['framed', 'mahogany', 'in', 'mahogany', 'mahogany', 'Elated', 'Elated', 'graduating']"
36,36,cap and gown and all.,36,A1.18,1.0,35.0,A1,2225,"['cap', 'and', 'gown', 'and', 'all', '.']","['NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'DET', 'PUNCT']","['NN', 'CC', 'NN', 'CC', 'DT', '.']","['conj', 'cc', 'conj', 'cc', 'conj', 'punct']","['graduating', 'cap', 'cap', 'cap', 'cap', 'looks']"
37,37,,37,,,,A1,2225,[],[],[],[],[]
38,38,Toasts and more toasts:,38,A1.19,2.0,36.0,A1,2225,"['toast', 'and', 'more', 'toast', ':']","['NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']","['NNS', 'CC', 'JJR', 'NNS', ':']","['ROOT', 'cc', 'amod', 'conj', 'punct']","['Toasts', 'Toasts', 'toasts', 'Toasts', 'Toasts']"
39,39,“To our Doctor of,39,A1.20,1.0,38.0,A1,2225,"['""', 'to', '-PRON-', 'Doctor', 'of']","['PUNCT', 'ADP', 'DET', 'PROPN', 'ADP']","['``', 'IN', 'PRP$', 'NNP', 'IN']","['punct', 'ROOT', 'poss', 'pobj', 'prep']","['To', 'To', 'Doctor', 'To', 'Doctor']"
40,40,Philosophy. Amazing Art Prodigy.,40,A1.20,1.0,39.0,A1,2225,"['Philosophy', '.', 'Amazing', 'Art', 'Prodigy', '.']","['PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['NNP', '.', 'NNP', 'NNP', 'NNP', '.']","['pobj', 'punct', 'compound', 'compound', 'ROOT', 'punct']","['of', 'To', 'Prodigy', 'Prodigy', 'Prodigy', 'Prodigy']"
41,41,To Gary Loisin!”,41,A1.20,1.0,40.0,A1,2225,"['to', 'Gary', 'Loisin', '!', '""']","['ADP', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']","['IN', 'NNP', 'NNP', '.', ""''""]","['ROOT', 'compound', 'pobj', 'punct', 'punct']","['To', 'Loisin', 'To', 'To', 'To']"
42,42,,42,,,,A1,2225,[],[],[],[],[]
43,43,"Clara’s carefully picked ""Happy",43,A1.21,2.0,41.0,A1,2225,"['Clara', '’s', 'carefully', 'pick', '""', 'Happy']","['PROPN', 'PART', 'ADV', 'VERB', 'PUNCT', 'PROPN']","['NNP', 'POS', 'RB', 'VBN', '``', 'NNP']","['poss', 'case', 'advmod', 'amod', 'punct', 'nmod']","['banners', 'Clara', 'picked', 'banners', 'banners', 'Graduation']"
44,44,"Graduation"" paper banners hang",44,A1.21,1.0,43.0,A1,2225,"['graduation', '""', 'paper', 'banner', 'hang']","['NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB']","['NN', ""''"", 'NN', 'NNS', 'VBP']","['nmod', 'punct', 'compound', 'nsubj', 'ROOT']","['banners', 'banners', 'banners', 'hang', 'hang']"
45,45,too low from,45,A1.21,1.0,44.0,A1,2225,"['too', 'low', 'from']","['ADV', 'ADV', 'ADP']","['RB', 'RB', 'IN']","['advmod', 'advmod', 'prep']","['low', 'hang', 'hang']"
46,46,the adobe doors.,46,A1.21,1.0,45.0,A1,2225,"['the', 'adobe', 'door', '.']","['DET', 'PROPN', 'NOUN', 'PUNCT']","['DT', 'NNP', 'NNS', '.']","['det', 'compound', 'pobj', 'punct']","['doors', 'doors', 'from', 'hang']"
47,47,People have to duck when,47,A1.22,1.0,46.0,A1,2225,"['People', 'have', 'to', 'duck', 'when']","['NOUN', 'AUX', 'PART', 'VERB', 'ADV']","['NNS', 'VBP', 'TO', 'VB', 'WRB']","['nsubj', 'ROOT', 'aux', 'xcomp', 'advmod']","['have', 'have', 'duck', 'have', 'go']"
48,48,they go in the kitchen.,48,A1.22,1.0,47.0,A1,2225,"['-PRON-', 'go', 'in', 'the', 'kitchen', '.']","['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['PRP', 'VBP', 'IN', 'DT', 'NN', '.']","['nsubj', 'advcl', 'prep', 'det', 'pobj', 'punct']","['go', 'have', 'go', 'kitchen', 'in', 'have']"
49,49,,49,,,,A1,2225,[],[],[],[],[]
50,50,,50,,2.0,48.0,A1,2225,[],[],[],[],[]
51,51,,51,,1.0,50.0,A1,2225,[],[],[],[],[]
52,52,,52,,,,A1,2225,[],[],[],[],[]
53,53,"At 74th and Columbus,",53,B1.1,2.0,51.0,B1,2225,"['at', '74th', 'and', 'Columbus', ',']","['ADP', 'ADJ', 'CCONJ', 'PROPN', 'PUNCT']","['IN', 'JJ', 'CC', 'NNP', ',']","['prep', 'pobj', 'cc', 'conj', 'punct']","['watches', 'At', '74th', '74th', 'watches']"
54,54,"Apartment 9D, Steven",54,B1.1,1.0,53.0,B1,2225,"['Apartment', '9d', ',', 'Steven']","['PROPN', 'NOUN', 'PUNCT', 'PROPN']","['NNP', 'NN', ',', 'NNP']","['compound', 'nsubj', 'punct', 'compound']","['9D', 'watches', 'watches', 'Perdue']"
55,55,Perdue watches his,55,B1.1,1.0,54.0,B1,2225,"['Perdue', 'watch', '-PRON-']","['PROPN', 'VERB', 'DET']","['NNP', 'VBZ', 'PRP$']","['nsubj', 'ROOT', 'poss']","['watches', 'watches', 'wife']"
56,56,wife get ready,56,B1.1,1.0,55.0,B1,2225,"['wife', 'get', 'ready']","['NOUN', 'VERB', 'ADJ']","['NN', 'VBP', 'JJ']","['nsubj', 'ccomp', 'acomp']","['get', 'watches', 'get']"
57,57,for her violin,57,B1.1,1.0,56.0,B1,2225,"['for', '-PRON-', 'violin']","['ADP', 'DET', 'NOUN']","['IN', 'PRP$', 'NN']","['prep', 'poss', 'compound']","['ready', 'lesson', 'lesson']"
58,58,"lesson: black clothes,",58,B1.1,1.0,57.0,B1,2225,"['lesson', ':', 'black', 'clothe', ',']","['NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT']","['NN', ':', 'JJ', 'NNS', ',']","['pobj', 'punct', 'amod', 'appos', 'punct']","['for', 'lesson', 'clothes', 'lesson', 'clothes']"
