,tr,Sentence,tr,index,tr_shift,prev_tr,story_section,n_tokens,lemma,pos,tag,dep_rel,dep_head
294,294,-- as if to prove,294,B3.22,1.0,293.0,B3,2225,"['--', 'as', 'if', 'to', 'prove']","['PUNCT', 'SCONJ', 'SCONJ', 'PART', 'VERB']","[':', 'IN', 'IN', 'TO', 'VB']","['punct', 'mark', 'mark', 'aux', 'advcl']","['overtips', 'prove', 'prove', 'prove', 'overtips']"
295,295,him right -- she overtips.,295,B3.22,1.0,294.0,B3,2225,"['-PRON-', 'right', '--', '-PRON-', 'overtip', '.']","['PRON', 'ADV', 'PUNCT', 'PRON', 'VERB', 'PUNCT']","['PRP', 'RB', ':', 'PRP', 'VBZ', '.']","['nsubj', 'ccomp', 'punct', 'nsubj', 'advcl', 'punct']","['right', 'prove', 'overtips', 'overtips', 'hates', 'pays']"
296,296,,296,,,,B3,2225,[],[],[],[],[]
297,297,,297,,2.0,295.0,B3,2225,[],[],[],[],[]
298,298,,298,,1.0,297.0,B3,2225,[],[],[],[],[]
299,299,,299,,,,B3,2225,[],[],[],[],[]
300,300,"“No art residencies for us,” Jeannie",300,A4.1,2.0,298.0,A4,2225,"['""', 'no', 'art', 'residency', 'for', '-PRON-', ',', '""', 'Jeannie']","['PUNCT', 'DET', 'NOUN', 'NOUN', 'ADP', 'PRON', 'PUNCT', 'PUNCT', 'PROPN']","['``', 'DT', 'NN', 'NNS', 'IN', 'PRP', ',', ""''"", 'NNP']","['punct', 'det', 'compound', 'dep', 'prep', 'pobj', 'punct', 'punct', 'nsubj']","['laughs', 'residencies', 'residencies', 'laughs', 'residencies', 'for', 'laughs', 'laughs', 'laughs']"
301,301,laughs and nods at the,301,A4.1,1.0,300.0,A4,2225,"['laugh', 'and', 'nod', 'at', 'the']","['VERB', 'CCONJ', 'VERB', 'ADP', 'DET']","['VBZ', 'CC', 'VBZ', 'IN', 'DT']","['ROOT', 'cc', 'conj', 'prep', 'det']","['laughs', 'laughs', 'laughs', 'nods', 'boy']"
302,302,gurgling boy on her lap.,302,A4.1,1.0,301.0,A4,2225,"['gurgle', 'boy', 'on', '-PRON-', 'lap', '.']","['VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['VBG', 'NN', 'IN', 'PRP$', 'NN', '.']","['amod', 'pobj', 'prep', 'poss', 'pobj', 'punct']","['boy', 'at', 'nods', 'lap', 'on', 'laughs']"
303,303,"Tommy struts in, dangling his",303,A4.2,1.0,302.0,A4,2225,"['Tommy', 'strut', 'in', ',', 'dangle', '-PRON-']","['PROPN', 'VERB', 'ADP', 'PUNCT', 'VERB', 'DET']","['NNP', 'VBZ', 'RP', ',', 'VBG', 'PRP$']","['nsubj', 'ROOT', 'prt', 'punct', 'advcl', 'poss']","['struts', 'struts', 'struts', 'struts', 'struts', 'scotch']"
304,304,scotch by his crotch.,304,A4.2,1.0,303.0,A4,2225,"['scotch', 'by', '-PRON-', 'crotch', '.']","['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['NN', 'IN', 'PRP$', 'NN', '.']","['dobj', 'prep', 'poss', 'pobj', 'punct']","['dangling', 'dangling', 'crotch', 'by', 'struts']"
305,305,"He holds a cracker,",305,A4.3,1.0,304.0,A4,2225,"['-PRON-', 'hold', 'a', 'cracker', ',']","['PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']","['PRP', 'VBZ', 'DT', 'NN', ',']","['nsubj', 'ROOT', 'det', 'dobj', 'punct']","['holds', 'holds', 'cracker', 'holds', 'holds']"
306,306,piled with over-ripe brie,306,A4.3,1.0,305.0,A4,2225,"['pile', 'with', 'over', '-', 'ripe', 'brie']","['VERB', 'ADP', 'ADP', 'PUNCT', 'ADJ', 'NOUN']","['VBN', 'IN', 'IN', 'HYPH', 'JJ', 'NN']","['conj', 'prep', 'advmod', 'punct', 'amod', 'pobj']","['holds', 'piled', 'ripe', 'ripe', 'brie', 'with']"
307,307,"and jelly, shoves it",307,A4.3,1.0,306.0,A4,2225,"['and', 'jelly', ',', 'shove', '-PRON-']","['CCONJ', 'NOUN', 'PUNCT', 'VERB', 'PRON']","['CC', 'NN', ',', 'VBZ', 'PRP']","['cc', 'conj', 'punct', 'conj', 'dobj']","['brie', 'brie', 'piled', 'piled', 'shoves']"
308,308,in his wife's mouth.,308,A4.3,1.0,307.0,A4,2225,"['in', '-PRON-', 'wife', ""'s"", 'mouth', '.']","['ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'PUNCT']","['IN', 'PRP$', 'NN', 'POS', 'NN', '.']","['prep', 'poss', 'poss', 'case', 'pobj', 'punct']","['shoves', 'wife', 'mouth', 'wife', 'in', 'holds']"
309,309,"She thankfully chews,",309,A4.5,1.0,308.0,A4,2225,"['-PRON-', 'thankfully', 'chew', ',']","['PRON', 'ADV', 'VERB', 'PUNCT']","['PRP', 'RB', 'VBZ', ',']","['nsubj', 'advmod', 'ROOT', 'punct']","['chews', 'chews', 'chews', 'chews']"
310,310,like a chipmunk.,310,A4.5,1.0,309.0,A4,2225,"['like', 'a', 'chipmunk', '.']","['SCONJ', 'DET', 'NOUN', 'PUNCT']","['IN', 'DT', 'NN', '.']","['prep', 'det', 'pobj', 'punct']","['chews', 'chipmunk', 'like', 'chews']"
311,311,His black faded t-shirt,311,A4.6,1.0,310.0,A4,2225,"['-PRON-', 'black', 'fade', 't', '-', 'shirt']","['DET', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'NOUN']","['PRP$', 'NN', 'VBD', 'NN', 'HYPH', 'NN']","['poss', 'amod', 'amod', 'compound', 'punct', 'compound']","['walks', 'walks', 'walks', 'shirt', 'shirt', 'walks']"
312,312,walks towards the kitchen.,312,A4.6,1.0,311.0,A4,2225,"['walk', 'towards', 'the', 'kitchen', '.']","['VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['VBZ', 'IN', 'DT', 'NN', '.']","['ROOT', 'prep', 'det', 'pobj', 'punct']","['walks', 'walks', 'kitchen', 'towards', 'walks']"
313,313,"""I'm an existentialist-fatalist,""",313,A4.7,1.0,312.0,A4,2225,"['""', '-PRON-', 'be', 'an', 'existentialist', '-', 'fatalist', ',', '""']","['PUNCT', 'PRON', 'AUX', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'PUNCT']","['``', 'PRP', 'VBP', 'DT', 'JJ', 'HYPH', 'JJ', ',', ""''""]","['punct', 'nsubj', 'ccomp', 'det', 'amod', 'punct', 'attr', 'punct', 'punct']","['boasts', ""'m"", 'boasts', 'fatalist', 'fatalist', 'fatalist', ""'m"", 'boasts', 'boasts']"
314,314,it boasts.,314,A4.7,1.0,313.0,A4,2225,"['-PRON-', 'boast', '.']","['PRON', 'VERB', 'PUNCT']","['PRP', 'VBZ', '.']","['nsubj', 'ROOT', 'punct']","['boasts', 'boasts', 'boasts']"
315,315,Then he ducks.,315,A4.8,1.0,314.0,A4,2225,"['then', '-PRON-', 'duck', '.']","['ADV', 'PRON', 'VERB', 'PUNCT']","['RB', 'PRP', 'VBZ', '.']","['advmod', 'nsubj', 'ROOT', 'punct']","['ducks', 'ducks', 'ducks', 'ducks']"
316,316,"The ""Congratulations!"" sign still hits",316,A4.9,1.0,315.0,A4,2225,"['the', '""', 'congratulation', '!', '""', 'sign', 'still', 'hit']","['DET', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'ADV', 'VERB']","['DT', '``', 'NNS', '.', ""''"", 'NN', 'RB', 'VBZ']","['det', 'punct', 'ROOT', 'punct', 'punct', 'nsubj', 'advmod', 'ROOT']","['Congratulations', 'Congratulations', 'Congratulations', 'Congratulations', 'Congratulations', 'hits', 'hits', 'hits']"
317,317,him on the back.,317,A4.9,1.0,316.0,A4,2225,"['-PRON-', 'on', 'the', 'back', '.']","['PRON', 'ADP', 'DET', 'NOUN', 'PUNCT']","['PRP', 'IN', 'DT', 'NN', '.']","['dobj', 'prep', 'det', 'pobj', 'punct']","['hits', 'hits', 'back', 'on', 'hits']"
318,318,"""One more Tommy, please!""",318,A4.10,1.0,317.0,A4,2225,"['""', 'one', 'more', 'Tommy', ',', 'please', '!', '""']","['PUNCT', 'NUM', 'ADJ', 'PROPN', 'PUNCT', 'INTJ', 'PUNCT', 'PUNCT']","['``', 'CD', 'JJR', 'NNP', ',', 'UH', '.', ""''""]","['punct', 'nummod', 'amod', 'npadvmod', 'punct', 'ROOT', 'punct', 'punct']","['please', 'Tommy', 'One', 'please', 'please', 'please', 'please', 'please']"
319,319,,319,,,,A4,2225,[],[],[],[],[]
320,320,She's never losing the baby,320,A4.11,2.0,318.0,A4,2225,"['-PRON-', 'be', 'never', 'lose', 'the', 'baby']","['PRON', 'AUX', 'ADV', 'VERB', 'DET', 'NOUN']","['PRP', 'VBZ', 'RB', 'VBG', 'DT', 'NN']","['nsubj', 'aux', 'neg', 'ccomp', 'det', 'compound']","['losing', 'losing', 'losing', 'thinks', 'weight', 'weight']"
321,321,"weight that way, Clara thinks.",321,A4.11,1.0,320.0,A4,2225,"['weight', 'that', 'way', ',', 'Clara', 'think', '.']","['NOUN', 'DET', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'PUNCT']","['NN', 'DT', 'NN', ',', 'NNP', 'VBZ', '.']","['dobj', 'det', 'npadvmod', 'punct', 'nsubj', 'ROOT', 'punct']","['losing', 'way', 'losing', 'thinks', 'thinks', 'thinks', 'thinks']"
322,322,But who the fuck cares... she’s young...,322,A4.12,1.0,321.0,A4,2225,"['but', 'who', 'the', 'fuck', 'care', '...', '-PRON-', '’', 'young', '...']","['CCONJ', 'PRON', 'DET', 'NOUN', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADJ', 'PUNCT']","['CC', 'WP', 'DT', 'NN', 'VBZ', ':', 'PRP', 'VBZ', 'JJ', ':']","['cc', 'dobj', 'det', 'nsubj', 'ccomp', 'punct', 'nsubj', 'ROOT', 'acomp', 'punct']","['cares', 'cares', 'fuck', 'cares', '’s', '’s', '’s', '’s', '’s', '’s']"
323,323,Clara looks at the,323,A4.13,1.0,322.0,A4,2225,"['Clara', 'look', 'at', 'the']","['PROPN', 'VERB', 'ADP', 'DET']","['NNP', 'VBZ', 'IN', 'DT']","['nsubj', 'ROOT', 'prep', 'det']","['looks', 'looks', 'looks', 'baby']"
324,324,baby who's drooling over,324,A4.13,1.0,323.0,A4,2225,"['baby', 'who', 'be', 'drool', 'over']","['NOUN', 'PRON', 'AUX', 'VERB', 'ADP']","['NN', 'WP', 'VBZ', 'VBG', 'IN']","['pobj', 'nsubj', 'aux', 'relcl', 'prep']","['at', 'drooling', 'drooling', 'baby', 'drooling']"
325,325,his hands and walks,325,A4.13,1.0,324.0,A4,2225,"['-PRON-', 'hand', 'and', 'walk']","['DET', 'NOUN', 'CCONJ', 'VERB']","['PRP$', 'NNS', 'CC', 'VBZ']","['poss', 'pobj', 'cc', 'conj']","['hands', 'over', 'drooling', 'drooling']"
326,326,out of the room.,326,A4.13,1.0,325.0,A4,2225,"['out', 'of', 'the', 'room', '.']","['SCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT']","['IN', 'IN', 'DT', 'NN', '.']","['prep', 'prep', 'det', 'pobj', 'punct']","['walks', 'out', 'room', 'of', 'looks']"
327,327,"""How could you do this to me?"" Clara hisses at Gary.",327,A4.14,1.0,326.0,A4,2225,"['""', 'how', 'could', '-PRON-', 'do', 'this', 'to', '-PRON-', '?', '""', 'Clara', 'hiss', 'at', 'Gary', '.']","['PUNCT', 'ADV', 'VERB', 'PRON', 'AUX', 'DET', 'ADP', 'PRON', 'PUNCT', 'PUNCT', 'PROPN', 'VERB', 'ADP', 'PROPN', 'PUNCT']","['``', 'WRB', 'MD', 'PRP', 'VB', 'DT', 'IN', 'PRP', '.', ""''"", 'NNP', 'VBZ', 'IN', 'NNP', '.']","['punct', 'advmod', 'aux', 'nsubj', 'ROOT', 'dobj', 'dative', 'pobj', 'punct', 'punct', 'nsubj', 'ROOT', 'prep', 'pobj', 'punct']","['do', 'do', 'do', 'do', 'do', 'do', 'do', 'to', 'do', 'do', 'hisses', 'hisses', 'hisses', 'at', 'hisses']"
328,328,,328,,,,A4,2225,[],[],[],[],[]
329,329,"""When did you find out about New",329,A4.15,2.0,327.0,A4,2225,"['""', 'when', 'do', '-PRON-', 'find', 'out', 'about', 'New']","['PUNCT', 'ADV', 'AUX', 'PRON', 'VERB', 'ADP', 'ADP', 'PROPN']","['``', 'WRB', 'VBD', 'PRP', 'VB', 'RP', 'IN', 'NNP']","['punct', 'advmod', 'aux', 'nsubj', 'ROOT', 'prt', 'prep', 'compound']","['find', 'find', 'find', 'find', 'find', 'find', 'find', 'York']"
330,330,"York? When did you even apply?""",330,A4.15,1.0,329.0,A4,2225,"['York', '?', 'when', 'do', '-PRON-', 'even', 'apply', '?', '""']","['PROPN', 'PUNCT', 'ADV', 'AUX', 'PRON', 'ADV', 'VERB', 'PUNCT', 'PUNCT']","['NNP', '.', 'WRB', 'VBD', 'PRP', 'RB', 'VB', '.', ""''""]","['pobj', 'punct', 'advmod', 'aux', 'nsubj', 'advmod', 'ROOT', 'punct', 'punct']","['about', 'find', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
331,331,Anger and humiliation are,331,A4.16,1.0,330.0,A4,2225,"['anger', 'and', 'humiliation', 'be']","['NOUN', 'CCONJ', 'NOUN', 'AUX']","['NN', 'CC', 'NN', 'VBP']","['nsubj', 'cc', 'conj', 'aux']","['drowning', 'Anger', 'Anger', 'drowning']"
332,332,drowning her breath.,332,A4.16,1.0,331.0,A4,2225,"['drown', '-PRON-', 'breath', '.']","['VERB', 'DET', 'NOUN', 'PUNCT']","['VBG', 'PRP$', 'NN', '.']","['ROOT', 'poss', 'dobj', 'punct']","['drowning', 'breath', 'drowning', 'drowning']"
333,333,And probably a touch too much wine.,333,A4.17,1.0,332.0,A4,2225,"['and', 'probably', 'a', 'touch', 'too', 'much', 'wine', '.']","['CCONJ', 'ADV', 'DET', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'PUNCT']","['CC', 'RB', 'DT', 'NN', 'RB', 'JJ', 'NN', '.']","['cc', 'advmod', 'det', 'nsubj', 'advmod', 'amod', 'ROOT', 'punct']","['wine', 'wine', 'touch', 'wine', 'much', 'wine', 'wine', 'wine']"
334,334,But Gary is giddy and,334,A4.18,1.0,333.0,A4,2225,"['but', 'Gary', 'be', 'giddy', 'and']","['CCONJ', 'PROPN', 'AUX', 'ADJ', 'CCONJ']","['CC', 'NNP', 'VBZ', 'JJ', 'CC']","['cc', 'nsubj', 'ROOT', 'acomp', 'cc']","['is', 'is', 'is', 'is', 'giddy']"
335,335,thrilled and sees nothing,335,A4.18,1.0,334.0,A4,2225,"['thrilled', 'and', 'see', 'nothing']","['ADJ', 'CCONJ', 'VERB', 'PRON']","['JJ', 'CC', 'VBZ', 'NN']","['conj', 'cc', 'conj', 'dobj']","['giddy', 'thrilled', 'thrilled', 'sees']"
336,336,wrong with their lives.,336,A4.18,1.0,335.0,A4,2225,"['wrong', 'with', '-PRON-', 'life', '.']","['ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']","['JJ', 'IN', 'PRP$', 'NNS', '.']","['amod', 'prep', 'poss', 'pobj', 'punct']","['nothing', 'sees', 'lives', 'with', 'is']"
337,337,"""Baby -- be",337,A4.19,1.0,336.0,A4,2225,"['""', 'Baby', '--', 'be']","['PUNCT', 'PROPN', 'PUNCT', 'AUX']","['``', 'NNP', ':', 'VB']","['punct', 'nsubj', 'punct', 'ccomp']","['laughs', 'be', 'be', 'laughs']"
338,338,"proud,"" he laughs.",338,A4.19,1.0,337.0,A4,2225,"['proud', ',', '""', '-PRON-', 'laugh', '.']","['ADJ', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'PUNCT']","['JJ', ',', ""''"", 'PRP', 'VBZ', '.']","['acomp', 'punct', 'punct', 'nsubj', 'ROOT', 'punct']","['be', 'laughs', 'laughs', 'laughs', 'laughs', 'laughs']"
339,339,"""It's just for a year, we'll work it out...""",339,A4.20,1.0,338.0,A4,2225,"['""', '-PRON-', 'be', 'just', 'for', 'a', 'year', ',', '-PRON-', 'will', 'work', '-PRON-', 'out', '...', '""']","['PUNCT', 'PRON', 'AUX', 'ADV', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'PRON', 'ADP', 'PUNCT', 'PUNCT']","['``', 'PRP', 'VBZ', 'RB', 'IN', 'DT', 'NN', ',', 'PRP', 'MD', 'VB', 'PRP', 'RP', ':', ""''""]","['punct', 'nsubj', 'ccomp', 'advmod', 'prep', 'det', 'pobj', 'punct', 'nsubj', 'aux', 'ROOT', 'dobj', 'prt', 'punct', 'punct']","['work', ""'s"", 'work', ""'s"", ""'s"", 'year', 'for', 'work', 'work', 'work', 'work', 'work', 'work', 'work', 'work']"
340,340,,340,,,,A4,2225,[],[],[],[],[]
341,341,And what is so sad,341,A4.21,2.0,339.0,A4,2225,"['and', 'what', 'be', 'so', 'sad']","['CCONJ', 'PRON', 'AUX', 'ADV', 'ADJ']","['CC', 'WP', 'VBZ', 'RB', 'JJ']","['cc', 'nsubj', 'ccomp', 'advmod', 'acomp']","['is', 'is', 'believes', 'sad', 'is']"
342,342,-- he really believes this…,342,A4.21,1.0,341.0,A4,2225,"['--', '-PRON-', 'really', 'believe', 'this', '…']","['PUNCT', 'PRON', 'ADV', 'VERB', 'DET', 'PUNCT']","[':', 'PRP', 'RB', 'VBZ', 'DT', 'NFP']","['punct', 'nsubj', 'advmod', 'ROOT', 'dobj', 'punct']","['believes', 'believes', 'believes', 'believes', 'believes', 'believes']"
343,343,,343,,,,A4,2225,[],[],[],[],[]
344,344,,344,,2.0,342.0,A4,2225,[],[],[],[],[]
345,345,,345,,1.0,344.0,A4,2225,[],[],[],[],[]
346,346,,346,,,,A4,2225,[],[],[],[],[]
347,347,Alexander and Margaret,347,B4.1,2.0,345.0,B4,2225,"['Alexander', 'and', 'Margaret']","['PROPN', 'CCONJ', 'PROPN']","['NNP', 'CC', 'NNP']","['nsubj', 'cc', 'conj']","['walk', 'Alexander', 'Alexander']"
348,348,walk down Broadway.,348,B4.1,1.0,347.0,B4,2225,"['walk', 'down', 'Broadway', '.']","['VERB', 'ADP', 'PROPN', 'PUNCT']","['VBP', 'RP', 'NNP', '.']","['ROOT', 'prep', 'pobj', 'punct']","['walk', 'walk', 'down', 'walk']"
349,349,Margaret feels beautiful.,349,B4.2,1.0,348.0,B4,2225,"['Margaret', 'feel', 'beautiful', '.']","['PROPN', 'VERB', 'ADJ', 'PUNCT']","['NNP', 'VBZ', 'JJ', '.']","['nsubj', 'ROOT', 'acomp', 'punct']","['feels', 'feels', 'feels', 'feels']"
350,350,“I quit my Wall Street job three months ago.,350,B4.3,1.0,349.0,B4,2225,"['""', '-PRON-', 'quit', '-PRON-', 'Wall', 'Street', 'job', 'three', 'month', 'ago', '.']","['PUNCT', 'PRON', 'VERB', 'DET', 'PROPN', 'PROPN', 'NOUN', 'NUM', 'NOUN', 'ADV', 'PUNCT']","['``', 'PRP', 'VBP', 'PRP$', 'NNP', 'NNP', 'NN', 'CD', 'NNS', 'RB', '.']","['punct', 'nsubj', 'ROOT', 'poss', 'compound', 'compound', 'dobj', 'nummod', 'npadvmod', 'advmod', 'punct']","['quit', 'quit', 'quit', 'job', 'Street', 'job', 'quit', 'months', 'ago', 'quit', 'quit']"
351,351,I'm taking violin,351,B4.4,1.0,350.0,B4,2225,"['-PRON-', 'be', 'take', 'violin']","['PRON', 'AUX', 'VERB', 'NOUN']","['PRP', 'VBP', 'VBG', 'NN']","['nsubj', 'aux', 'ROOT', 'compound']","['taking', 'taking', 'taking', 'lessons']"
352,352,"lessons. For fun,”",352,B4.4,1.0,351.0,B4,2225,"['lesson', '.', 'for', 'fun', ',', '""']","['NOUN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'PUNCT']","['NNS', '.', 'IN', 'NN', ',', ""''""]","['dobj', 'punct', 'prep', 'pobj', 'punct', 'punct']","['taking', 'taking', 'adds', 'For', 'adds', 'adds']"
353,353,she adds.,353,B4.4,1.0,352.0,B4,2225,"['-PRON-', 'add', '.']","['PRON', 'VERB', 'PUNCT']","['PRP', 'VBZ', '.']","['nsubj', 'ROOT', 'punct']","['adds', 'adds', 'adds']"
354,354,Alexander doesn’t respond.,354,B4.5,1.0,353.0,B4,2225,"['Alexander', 'do', 'not', 'respond', '.']","['PROPN', 'AUX', 'PART', 'VERB', 'PUNCT']","['NNP', 'VBZ', 'RB', 'VB', '.']","['nsubj', 'aux', 'neg', 'ROOT', 'punct']","['respond', 'respond', 'respond', 'respond', 'respond']"
355,355,“And Steven took,355,B4.6,1.0,354.0,B4,2225,"['""', 'and', 'Steven', 'take']","['PUNCT', 'CCONJ', 'PROPN', 'VERB']","['``', 'CC', 'NNP', 'VBD']","['punct', 'cc', 'nsubj', 'ROOT']","['took', 'took', 'took', 'took']"
356,356,early retirement.,356,B4.6,1.0,355.0,B4,2225,"['early', 'retirement', '.']","['ADJ', 'NOUN', 'PUNCT']","['JJ', 'NN', '.']","['amod', 'dobj', 'punct']","['retirement', 'took', 'took']"
357,357,He did very well with investments.”,357,B4.7,1.0,356.0,B4,2225,"['-PRON-', 'do', 'very', 'well', 'with', 'investment', '.', '""']","['PRON', 'AUX', 'ADV', 'ADV', 'ADP', 'NOUN', 'PUNCT', 'PUNCT']","['PRP', 'VBD', 'RB', 'RB', 'IN', 'NNS', '.', ""''""]","['nsubj', 'ROOT', 'advmod', 'advmod', 'prep', 'pobj', 'punct', 'punct']","['did', 'did', 'well', 'did', 'did', 'with', 'did', 'did']"
358,358,She can hear the pride in,358,B4.8,1.0,357.0,B4,2225,"['-PRON-', 'can', 'hear', 'the', 'pride', 'in']","['PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP']","['PRP', 'MD', 'VB', 'DT', 'NN', 'IN']","['nsubj', 'aux', 'ROOT', 'det', 'dobj', 'prep']","['hear', 'hear', 'hear', 'pride', 'hear', 'pride']"
359,359,her voice and she stops.,359,B4.8,1.0,358.0,B4,2225,"['-PRON-', 'voice', 'and', '-PRON-', 'stop', '.']","['DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'PUNCT']","['PRP$', 'NN', 'CC', 'PRP', 'VBZ', '.']","['poss', 'pobj', 'cc', 'nsubj', 'conj', 'punct']","['voice', 'in', 'hear', 'stops', 'hear', 'stops']"
360,360,Praising your private life to,360,B4.9,1.0,359.0,B4,2225,"['praise', '-PRON-', 'private', 'life', 'to']","['VERB', 'DET', 'ADJ', 'NOUN', 'ADP']","['VBG', 'PRP$', 'JJ', 'NN', 'IN']","['advcl', 'poss', 'amod', 'dobj', 'prep']","['feels', 'life', 'life', 'Praising', 'Praising']"
361,361,"a lover, even a",361,B4.9,1.0,360.0,B4,2225,"['a', 'lover', ',', 'even', 'a']","['DET', 'NOUN', 'PUNCT', 'ADV', 'DET']","['DT', 'NN', ',', 'RB', 'DT']","['det', 'pobj', 'punct', 'advmod', 'det']","['lover', 'to', 'lover', 'lover', 'lover']"
362,362,"former lover, feels wrong.",362,B4.9,1.0,361.0,B4,2225,"['former', 'lover', ',', 'feel', 'wrong', '.']","['ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADJ', 'PUNCT']","['JJ', 'NN', ',', 'VBZ', 'JJ', '.']","['amod', 'appos', 'punct', 'ROOT', 'acomp', 'punct']","['lover', 'lover', 'feels', 'feels', 'feels', 'feels']"
363,363,But she's doing it.,363,B4.10,1.0,362.0,B4,2225,"['but', '-PRON-', 'be', 'do', '-PRON-', '.']","['CCONJ', 'PRON', 'AUX', 'VERB', 'PRON', 'PUNCT']","['CC', 'PRP', 'VBZ', 'VBG', 'PRP', '.']","['cc', 'nsubj', 'aux', 'ROOT', 'dobj', 'punct']","['doing', 'doing', 'doing', 'doing', 'doing', 'doing']"
364,364,"""Steven’s a therapist now.""",364,B4.11,1.0,363.0,B4,2225,"['""', 'Steven', '’', 'a', 'therapist', 'now', '.', '""']","['PUNCT', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADV', 'PUNCT', 'PUNCT']","['``', 'NNP', 'VBZ', 'DT', 'NN', 'RB', '.', ""''""]","['ROOT', 'nsubj', 'meta', 'det', 'attr', 'advmod', 'punct', 'punct']","['""', '’s', '""', 'therapist', '’s', '’s', '’s', '’s']"
365,365,"Alexander laughs. ""An",365,B4.12,1.0,364.0,B4,2225,"['Alexander', 'laugh', '.', '""', 'an']","['PROPN', 'VERB', 'PUNCT', 'PUNCT', 'DET']","['NNP', 'VBZ', '.', '``', 'DT']","['nsubj', 'ROOT', 'punct', 'punct', 'det']","['laughs', 'laughs', 'laughs', 'laughs', 'banker']"
366,366,ex-banker who listens,366,B4.12,1.0,365.0,B4,2225,"['ex', '-', 'banker', 'who', 'listen']","['NOUN', 'NOUN', 'NOUN', 'PRON', 'VERB']","['NN', 'NN', 'NN', 'WP', 'VBZ']","['dep', 'dep', 'ROOT', 'nsubj', 'relcl']","['-', 'banker', 'banker', 'listens', 'banker']"
367,367,to people's pain,367,B4.12,1.0,366.0,B4,2225,"['to', 'people', ""'s"", 'pain']","['ADP', 'NOUN', 'PART', 'NOUN']","['IN', 'NNS', 'POS', 'NN']","['prep', 'poss', 'case', 'pobj']","['listens', 'pain', 'people', 'to']"
368,368,for a hobby.,368,B4.12,1.0,367.0,B4,2225,"['for', 'a', 'hobby', '.']","['ADP', 'DET', 'NOUN', 'PUNCT']","['IN', 'DT', 'NN', '.']","['prep', 'det', 'pobj', 'punct']","['pain', 'hobby', 'for', 'banker']"
369,369,I thought you wanted a kid.,369,B4.13,1.0,368.0,B4,2225,"['-PRON-', 'think', '-PRON-', 'want', 'a', 'kid', '.']","['PRON', 'VERB', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']","['PRP', 'VBD', 'PRP', 'VBD', 'DT', 'NN', '.']","['nsubj', 'ROOT', 'nsubj', 'ccomp', 'det', 'dobj', 'punct']","['thought', 'thought', 'wanted', 'thought', 'kid', 'wanted', 'thought']"
370,370,"Isn't that why you married?""",370,B4.13,1.0,369.0,B4,2225,"['be', 'not', 'that', 'why', '-PRON-', 'marry', '?', '""']","['AUX', 'PART', 'DET', 'ADV', 'PRON', 'VERB', 'PUNCT', 'PUNCT']","['VBZ', 'RB', 'DT', 'WRB', 'PRP', 'VBD', '.', ""''""]","['ROOT', 'neg', 'nsubj', 'advmod', 'nsubj', 'ccomp', 'punct', 'punct']","['Is', 'Is', 'Is', 'married', 'married', 'Is', 'Is', 'Is']"
371,371,She's quiet for a second.,371,B4.14,1.0,370.0,B4,2225,"['-PRON-', 'be', 'quiet', 'for', 'a', 'second', '.']","['PRON', 'AUX', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']","['PRP', 'VBZ', 'JJ', 'IN', 'DT', 'NN', '.']","['nsubj', 'ROOT', 'acomp', 'prep', 'det', 'pobj', 'punct']","[""'s"", ""'s"", ""'s"", ""'s"", 'second', 'for', ""'s""]"
372,372,,372,,,,B4,2225,[],[],[],[],[]
