Okay,okay,0.34,0.49
the,the,108.84,108.99000000000001
window,window,108.99,109.64
um,um,109.66,110.02
that,that,110.1,110.41
I,i,110.82,110.97
guess,guess,110.97,111.25
we’re,we're,111.48,111.93
we’re,we're,111.93,112.25
supposed,supposed,112.25,112.5
to,to,112.5,112.52
think,think,112.56,112.73
is,is,112.73,112.83
important,important,113.03,113.17999999999999
because,because,113.69,113.75
she,she,113.92,114.08
keeps,keeps,114.08,114.36
being,being,114.36,114.57
shown,shown,114.57,114.91999999999999
Um,um,115.91,116.31
after,after,116.809999,117.28999900000001
the,the,117.28999999999999,118.02
man,man,118.03,118.24
is,is,118.24,118.41
killed,killed,118.44,118.89999999999999
his,his,119.46000000000001,119.73
um,um,119.929999,120.44999899999999
the,the,120.61,120.73
king,king,120.73,121.08
says,says,121.13,121.38
like,like,121.389999,121.619999
Let,let,121.669999,121.839999
the,the,121.839999,121.939999
festivities,,,
begin,,,
and,,,
I,i,123.0,123.09
guess,guess,123.089999,123.279999
they’re,they're,123.28,123.42
celebrating,celebrating,123.429999,124.039999
like,like,124.559999,125.049999
not,not,125.35,125.64999999999999
using,using,125.66,126.09
magic,magic,126.17,126.89
in,,,
the,the,126.609999,126.719999
kingdom,kingdom,126.719999,127.119999
Um,um,127.5,127.91
the,the,129.25,129.83
uh,uh,130.39,130.6
before,before,130.67,130.94
the,the,130.94,131.04
crowd,crowd,131.04,131.32999999999998
fully,fully,131.33,131.56
disperses,<unk>,131.56,131.57
this,this,132.29999999999998,132.5
woman,woman,132.68,133.03
starts,starts,133.07,133.26999999999998
screaming,screaming,133.39,133.82
And,and,133.83,134.25
turns,turns,134.639999,134.92999899999998
out,out,134.929999,135.10999900000002
that,that,135.11,135.28
she’s,she's,135.28,135.61
the,the,135.63,135.82999999999998
uh,uh,136.01,136.32999999999998
executed,executed,136.33,136.85000000000002
man’s,man's,136.889999,137.219999
mother,mother,137.219999,137.599999
And,and,137.94,138.41
um,um,138.42,139.01
she’s,she's,139.4,139.71
pretty,pretty,139.88,140.12
distressed,distressed,140.12,140.76
calls,calls,141.07,141.42
the,the,141.429999,141.549999
king,king,141.549999,142.06999900000002
the,the,142.109999,142.26999899999998
only,only,142.27,142.53
evil,evil,142.529999,142.809999
thing,thing,142.809999,143.249999
um,um,143.669999,144.379999
says,says,145.81,146.15
that,that,146.17,146.48999999999998
before,before,146.49,146.86
the,the,146.86,147.21
festivities,festivities,147.22,147.98
are,are,147.98,148.1
over,over,148.1,148.57
uh,uh,149.06,149.6
he’s,he's,149.84,150.33
going,going,150.47,150.82
to,to,150.85,151.18
one,one,151.19,151.39
of,of,151.39,151.54
his,his,151.64,152.04999999999998
kids,kids,152.13,152.35
is,is,152.349999,152.369999
going,,,
to,to,152.62,152.66
be,be,152.67,152.80999999999997
dead,dead,152.809999,153.039999
anyways,anyways,153.04,153.51999999999998
And,and,153.91,154.13
then,then,154.13,154.44
um,um,154.46,154.76000000000002
before,before,154.77,155.11
the,the,155.11,155.21
guards,guards,155.21,155.56
can,can,155.66,155.69
seize,seize,155.69,155.98
her,her,155.98,156.25
she,she,156.58,156.60000000000002
kind,kind,156.599999,156.839999
of,of,156.84,157.0
like,like,157.0,157.37
turns,turns,157.599999,157.889999
into,into,157.889999,158.08999899999998
this,this,158.09,158.24
tornado,tornado,158.65,159.19
and,and,159.19,159.5
disappears,disappears,159.57,159.95999999999998
Um,um,161.43,161.87
so,,,
then,then,162.38,162.78
Merlin,merlin,162.97,163.39
leaves,leaves,163.4,163.73000000000002
kind,kind,163.73,163.88
of,of,163.88,163.97
shaken,shaken,163.97,164.49
He,he,164.8,165.01000000000002
goes,goes,165.01,165.32999999999998
to,to,165.41,165.69
the,the,165.74,166.28
um,um,166.31,166.89000000000001
I,i,168.22,168.23
forgot,forgot,168.23,168.56
what,what,168.56,168.77
the,the,168.77,168.92000000000002
guy’s,guy's,168.92,169.29999999999998
name,name,169.3,169.47
was,was,169.47,169.5
the,the,169.63,169.95
oh,oh,170.01,170.17
the,the,170.17,170.30999999999997
court,court,170.309999,170.619999
physician,physician,170.62,171.20000000000002
and,and,171.65,172.23000000000002
um,um,172.28,172.8
he,he,173.12,173.29
has,has,173.29,173.44
a,a,173.44,173.48
